,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,628523,-,-,-,40.65,-99.54,-6,729,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,1,1,0,30,-17.8,0,-13,31,0.8,0,0,929,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,1,1,1,30,-18.5,0,-13.5,31,0.8,0,0,929,6.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,1,1,2,30,-19,0,-14,31,0.8,0,0,929,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,1,1,3,30,-19.400000000000002,0,-14.600000000000001,27,0.8,0,0,929,6.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,1,1,4,30,-19.8,0,-15.100000000000001,22,0.8,0,0,930,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,1,1,5,30,-20.400000000000002,0,-15.5,19,0.8,0,0,929,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,1,1,6,30,-20.900000000000002,0,-15.8,18,0.8,0,0,930,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022,1,1,7,30,-21.1,0,-15.8,16,0.8,0,0,931,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022,1,1,8,30,-21.1,19,-15.700000000000001,14,0.8,19,0,933,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022,1,1,9,30,-21.200000000000003,58,-15.5,14,0.8,58,1,934,6.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2022,1,1,10,30,-21.200000000000003,66,-15.200000000000001,12,0.8,66,0,934,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022,1,1,11,30,-21.3,170,-14.600000000000001,9,0.8,168,6,933,6.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022,1,1,12,30,-21.200000000000003,159,-13.9,5,0.8,156,6,933,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022,1,1,13,30,-21,191,-13.100000000000001,2,0.8,187,10,933,6.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022,1,1,14,30,-20.900000000000002,159,-12.4,1,0.8,156,7,933,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022,1,1,15,30,-20.8,142,-12,0,0.8,115,102,934,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022,1,1,16,30,-20.900000000000002,68,-12,1,0.8,66,12,934,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022,1,1,17,30,-21.200000000000003,0,-12,180,0.8,0,0,935,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022,1,1,18,30,-21.6,0,-12,356,0.8,0,0,935,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2022,1,1,19,30,-21.6,0,-12.100000000000001,351,0.8,0,0,936,4.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022,1,1,20,30,-21.400000000000002,0,-12.4,348,0.8,0,0,937,3.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2022,1,1,21,30,-20.900000000000002,0,-12.9,346,0.8,0,0,937,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2022,1,1,22,30,-20.3,0,-13.200000000000001,339,0.8,0,0,937,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022,1,1,23,30,-19.900000000000002,0,-13.5,322,0.8,0,0,937,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2022,1,2,0,30,-19.6,0,-13.8,302,0.8,0,0,937,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2022,1,2,1,30,-19.400000000000002,0,-14,285,0.8,0,0,938,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022,1,2,2,30,-19.200000000000003,0,-14.100000000000001,273,0.8,0,0,938,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2022,1,2,3,30,-19.1,0,-14,264,0.8,0,0,938,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022,1,2,4,30,-18.900000000000002,0,-13.9,257,0.8,0,0,937,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022,1,2,5,30,-18.7,0,-13.8,251,0.8,0,0,937,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2022,1,2,6,30,-18.6,0,-13.700000000000001,248,0.8,0,0,937,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2022,1,2,7,30,-18.400000000000002,0,-13.3,247,0.8,0,0,937,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2022,1,2,8,30,-18.1,53,-11.9,245,0.8,20,493,937,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022,1,2,9,30,-17.2,147,-9.3,246,0.8,130,77,937,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2022,1,2,10,30,-16.2,299,-5.9,258,0.8,147,457,937,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2022,1,2,11,30,-15.5,441,-2.4000000000000004,272,0.8,52,943,937,3.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2022,1,2,12,30,-15.100000000000001,481,0.6000000000000001,288,0.8,57,952,936,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022,1,2,13,30,-15.200000000000001,464,2.6,303,0.8,57,943,936,4.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2022,1,2,14,30,-13.9,389,3,307,0.8,53,906,936,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2022,1,2,15,30,-12.200000000000001,265,1.7000000000000002,300,0.8,44,823,936,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2022,1,2,16,30,-8.8,109,-0.9,283,0.8,34,572,936,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022,1,2,17,30,-10.3,0,-2.4000000000000004,267,0.8,0,0,937,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2022,1,2,18,30,-10.5,0,-2.9000000000000004,258,0.68,0,0,937,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022,1,2,19,30,-10.8,0,-3.4000000000000004,255,0.68,0,0,937,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2022,1,2,20,30,-11.100000000000001,0,-3.9000000000000004,255,0.68,0,0,937,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2022,1,2,21,30,-11.200000000000001,0,-4.1000000000000005,255,0.68,0,0,937,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2022,1,2,22,30,-11.200000000000001,0,-4.2,254,0.68,0,0,937,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2022,1,2,23,30,-11.200000000000001,0,-4.3,254,0.68,0,0,937,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2022,1,3,0,30,-11.200000000000001,0,-4.4,257,0.68,0,0,937,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2022,1,3,1,30,-11.200000000000001,0,-4.6000000000000005,261,0.68,0,0,937,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2022,1,3,2,30,-11.200000000000001,0,-4.800000000000001,266,0.68,0,0,937,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2022,1,3,3,30,-11.200000000000001,0,-4.9,269,0.68,0,0,937,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2022,1,3,4,30,-11.3,0,-5.1000000000000005,267,0.68,0,0,937,2.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022,1,3,5,30,-11.5,0,-5.2,261,0.68,0,0,936,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2022,1,3,6,30,-11.9,0,-5.2,252,0.68,0,0,936,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2022,1,3,7,30,-12.4,0,-4.6000000000000005,243,0.68,0,0,936,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
